Role,Location,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_cat,Q10,Q10_cat,Q11,Q11_num,Q12,Q12_cat
Welder,Oklahoma - Durant Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Welding and learning form other how to improve ,Nature of Work,Working Fridays ,Schedule & Hours,Satisfied,80,I really dont know ,No Changes
Crane operator,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Good people ,People & Culture,Nothing,No Compliants,Satisfied,80,Nothing,No Changes
Leadperson,Oklahoma - Durant Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Environment ,People & Culture,Nothing,No Compliants,Extremely satisfied,100,,Blank
Maintenance,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,Being able to keep clean,Nature of Work,I enjoy everything,No Compliants,Extremely satisfied,100,Nothing,No Changes
Other,Oklahoma - Durant Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The fact that this company actually cares and shows appreciation to their employees by all the extras. ,People & Culture,Rush hr traffic! Lol,Other,Extremely satisfied,100,My direct supervisor being bipolar. 😂. Jk. Thats makes things interesting. Lol,No Changes
Welder,Oklahoma - Durant Shop,Agree,80,Strongly disagree,20,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,There is always something to do,Nature of Work,Positive work environment ,Other,Satisfied,80,Preventative maintenance on machines and equipment. ,Improved Equipment & Working Conditions
Machine operator,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Always knowing there will be another day of work to come an the weekly paychecks are awesome!,Nature of Work,Being a machine operator the least favorite is the quality of the equipment around me. Transfers an the machinery itself could use a good overhaul. And the 4 saw department buildings flood really bad everytime it rains.,Equipment & Resources,Extremely satisfied,100,Maybe a set couple days strickly for maintenance on the machines an transfers every month. ,Improved Equipment & Working Conditions
Welder,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Agree,80,Agree,80,Agree,80,Disagree,40,Welding,Nature of Work,Make repairs ,Equipment & Resources,Extremely satisfied,100,None,No Changes
Forklift operator,Oklahoma - Durant Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Coworkers,People & Culture,Forklift issues ,Equipment & Resources,Extremely satisfied,100,More communication ,Leadership Improvement
Detail coordinator,Oklahoma - Durant Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,The camaraderie at work and of course it's a company that has very good benefits and very good pay.,People & Culture,"As everywhere, there is always favoritism towards other employees and there is not always equality.",Management & Leadership,Extremely satisfied,100,The racism of the fabrication supervisor and his preference for certain employees,Work Policy & Culture
Crane operator,Oklahoma - Durant Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,My job and coworkers ,People & Culture,Machine is down,Equipment & Resources,Extremely satisfied,100,More communication ,Leadership Improvement
Leadperson,Oklahoma - Durant Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Having a leadership role and working as a team ,People & Culture,I don’t have anything negative to say about Steelfab. Steelfab has taken care of me. ,No Compliants,Extremely satisfied,100,,Blank
Forklift operator,Oklahoma - Durant Shop,Agree,80,Agree,80,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,"The Energy and positivity of working with all departments and employees positive attitudes everyday has made steelfab my new home for a great work environment. receiving, storing, And handling the materials is always different everyday and find it very challenging and exciting for my job! The safety is outstanding and the communication throughout each day is superb!",People & Culture,The unfortunate fact about my job is I can get suspended very easily and I’m at a higher risk of being fired.,Management & Leadership,Extremely satisfied,100,,Blank
Welder,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Helpful coworkers,People & Culture,Nothing really at this time,No Compliants,Satisfied,80,Not sure at the moment still kinda feeling it out,No Changes
Quality control,Oklahoma - Durant Shop,Agree,80,Agree,80,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,I get to work by my self and I get to work at my own pase the benefits are great as well ,Accomplishment & Growth,The way some people thank they are better than u are and kinda talk down to people because they are a leader/ supervisor  i would like to have the weekends off to enjoy with my kids more,People & Culture,Extremely satisfied,100,,Blank
Forklift operator,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,My job and coworkers ,Nature of Work,Forklift issues ,Equipment & Resources,Extremely satisfied,100,More Communication ,Leadership Improvement
Welder,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Good work environment and great leadership. ,People & Culture,Need more hours.,Schedule & Hours,Extremely satisfied,100,,Blank
Crane operator,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The hours ,Nature of Work,Nothing ,No Compliants,Extremely satisfied,100,,Blank
Welder,Oklahoma - Durant Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Pay,Pay & Benefits,No complaints. ,No Compliants,Satisfied,80,Nothing,No Changes
Machine operator,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,Good environment and great people to work with!,Nature of Work,Weather sometimes,Working Conditions,Extremely satisfied,100,,Blank
Crane operator,Oklahoma - Durant Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Money ,Pay & Benefits,Heat,Working Conditions,Satisfied,80,Nothing ,No Changes
Forklift operator,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,"Everything about my job, the work, the responsibility and the people.  ",People & Culture,"Nothing, I like doing my job.",No Compliants,Extremely satisfied,100,,Blank
Welder,Oklahoma - Durant Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Co- workers and the pay,People & Culture,"Loosing perfect attendance when you get sick or have an emergency even though you use a pto day, you can't schedule them days 2 weeks in advance ",Management & Leadership,Extremely satisfied,100,Have fans put up at every skid,Improved Equipment & Working Conditions
Welder,Oklahoma - Durant Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Co workers ,People & Culture,Not sure ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Welder,Oklahoma - Durant Shop,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Disagree,40,Agree,80,. ,Other,They expect you to have no life outside of steelFab and run things like your in school.,Management & Leadership,Satisfied,80,For them to be more understanding that things outside of work happen and not hold it against you when you have to miss for family or for any emergency,Work Policy & Culture
Forklift operator,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,I enjoy operating a forklift. It’s challenging and fast pass and rewarded with good pay!,Nature of Work,The heat and the dust in the steel yard,Working Conditions,Extremely satisfied,100,"Maybe a better training program, especially for forklift operators. ",Training & Career Development
Welder,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Learn ,Accomplishment & Growth,None ,No Compliants,Satisfied,80,,Blank
Welder,Oklahoma - Durant Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Best paying job around. Definitely could pay better for what we do but pleased for now. ,Pay & Benefits,Not giving the opportunity to grow as a welder. A lot of guys should be 2G tested but aren’t. It’s only the favorites.,Management & Leadership,Satisfied,80,Better pay and more time off without receiving points. Hard to attend kids activities without receiving a point. Also sick time off would be real nice ,Better Pay & Benefits
Detail coordinator,Oklahoma - Durant Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly disagree,20,Neither agree nor disagree,60,"the pay is good, decent hours. ",Pay & Benefits," not knowing what’s going on sometimes, communication being spotty. supervisor.     ",Management & Leadership,Satisfied,80,"treating people like people. just feels like that’s a lil lesser at some times.      had a guy get arrested for sexual abuse of a child yet he still works here, just should t be here in my opinion, interferes with the way i view this place     ",Work Policy & Culture
Maintenance,Oklahoma - Durant Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The family atmosphere and support from all management. Bunky always tries to accommodate each and every one of us. He has helped me through one of the hardest times in my life when I tried to take my own life a few weeks ago. He has given me every opportunity to advance and better myself by guiding and setting me up for success. Everyone I work with here makes my days enjoyable. The hospitality and the care Steelfab as a whole shows me is something I have never experienced before. ,People & Culture,The Oklahoma hot and cold seasons. ,Working Conditions,Extremely satisfied,100,Wish I would have started here sooner.,No Changes
Machine operator,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,Steady work with tangible results and fair treatment if not better.,Nature of Work,"General duties shift often, not consistent with responsibilities at times.",Schedule & Hours,Satisfied,80,"More opportunities for upward growth, while not completely stagnant, after a few years once you reach top out very few opportunities for improvement. Would like to see more options for leadership roles.",Training & Career Development
Maintenance,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,Working for a company that appears to really care about their workforce,People & Culture,It's just hard work,Other,Extremely satisfied,100,,Blank
Maintenance,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Good working environment no one bothering u unless u ask for it,Nature of Work,Having to work ,Other,Extremely satisfied,100,Bring uto  back .it helped when u didn't want to use pto but not get a point,Work Policy & Culture
Forklift operator,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,I don’t have to deal with customers complaining ,Nature of Work,I don’t enjoy that a guy that was arrested for being a pedo is still working here,People & Culture,Satisfied,80,N/A,No Changes
Welder,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,The Pay and benefits ,Pay & Benefits,Working weekends,Schedule & Hours,Satisfied,80,,Blank
Machine operator,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,Learning something new everyday ,Accomplishment & Growth,N/a,No Compliants,Satisfied,80,,Blank
Other,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,That yall give bonuses ,Pay & Benefits,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Leadperson,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,"This is the best job I have ever had. They people are great, management is solid, and there is a great sense of teamwork and comradery here.",People & Culture,Revisions and hold notices when I am in the middle of knocking out a job. ,Management & Leadership,Extremely satisfied,100,Nothing. Great business that is run very well,No Changes
Programmer,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,The fact that safety is one of the top priorities ,Nature of Work,Having to sit for most part of the day. A stand up desk would be nice ,Working Conditions,Satisfied,80,,Blank
Supervisor,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,I was given the the opportunity to grow with the company feels like a family. ,Accomplishment & Growth,Long Hours away from family not much time with them. ,Schedule & Hours,Extremely satisfied,100,I love STEEL FAB it’s like a big family that I constantly grow with. I never have worked anywhere that I feel appreciated like I do here. ,No Changes
Supervisor,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Camaraderie ,People & Culture,Hours away from family ,Schedule & Hours,Extremely satisfied,100,Fewer hours,Schedule & Work-Life Balance
Programmer,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Family aspect,People & Culture,None,No Compliants,Extremely satisfied,100,,Blank
Fitter,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Money ,Pay & Benefits,Heat,Working Conditions,Satisfied,80,,Blank
Fitter,Oklahoma - Durant Shop,Strongly disagree,20,Agree,80,Strongly disagree,20,Agree,80,Strongly disagree,20,Agree,80,The co workers,People & Culture,The way the supervisor talks to people,Management & Leadership,Dissatisfied,40,Hire a true leader ,Leadership Improvement
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Teamwork ,People & Culture,Nothing ,No Compliants,Extremely satisfied,100,,Blank
Fitter,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,ease of the job,Nature of Work,working nights,Schedule & Hours,Satisfied,80,,Blank
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Coworkers ,People & Culture,Temperature ,Working Conditions,Extremely satisfied,100,Regular maintenance on welding machines ,Improved Equipment & Working Conditions
Fitter,Oklahoma - Durant Shop,Agree,80,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,The attitude of the shop,People & Culture,The inconsistency of the schedule ,Schedule & Hours,Extremely satisfied,100,,Blank
Fitter,Oklahoma - Durant Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Agree,80,Great work environment and the pay and bonuses ,People & Culture,Nothing ,No Compliants,Extremely satisfied,100,Nothing ,No Changes
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,It's like a big family up here and I love what I do!!,People & Culture,I feel like we should all get positive criticism more often ,Management & Leadership,Extremely satisfied,100,Idk,No Changes
Fitter,Oklahoma - Durant Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,"Paycheck on Friday, and my fellows co-workers.",Pay & Benefits,The heat in the summer and the cold in the winter,Working Conditions,Satisfied,80,Nothing,No Changes
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The friendship between workers and knowing that the direction we are heading in is good.  ,People & Culture,Nothing I can think of currently,No Compliants,Extremely satisfied,100,Maybe having direct knowledge of breaks and hours changing before hand. Not at the last minute,Schedule & Work-Life Balance
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,We are all a team ,People & Culture,Heat and cold ,Working Conditions,Extremely satisfied,100,Better training ,Training & Career Development
Fitter,Oklahoma - Durant Shop,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,The pay ,Pay & Benefits,Some of the people,People & Culture,Satisfied,80,,Blank
Fitter,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Agree,80,Building something new each skid,Nature of Work,How hot it is in the shop,Working Conditions,Satisfied,80,Point system,Work Policy & Culture
Fitter,Oklahoma - Durant Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Bounus,Pay & Benefits,Working Saturday ,Schedule & Hours,Satisfied,80,Hours and sautrdays,Schedule & Work-Life Balance
Fitter,Oklahoma - Durant Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Pay rate so hopefully the raises are good.,Pay & Benefits,Some employees are cocky ,People & Culture,Satisfied,80,Nothing it's a good job ,No Changes
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Agree,80,The people,People & Culture,The climate lol,Working Conditions,Extremely satisfied,100,1. Not being pointed or using pto for needing off on a Saturday when it's mandatory!!   2. To slightly dumb down the prints with more detail and clarity of the drawings. ,Schedule & Work-Life Balance
Fitter,Oklahoma - Durant Shop,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Good pay,Pay & Benefits,Getting demoted,Management & Leadership,Satisfied,80,Promote people with more experience and been with steelfab longer rather than newer hires,Training & Career Development
Fitter,Oklahoma - Durant Shop,Agree,80,Agree,80,Agree,80,Agree,80,Strongly disagree,20,Neither agree nor disagree,60,"I love to weld, don’t really enjoy fitting all the time but that seems to be what I do the most.. out supervisors says it’s easier to train a welder than a fitter so I don’t get the chance to weld often.. since I know how to fit… I would prefer to weld and since I prefer it I do a better job at it ",Nature of Work,"The job always takes priority over home life, with 6 kids I miss out a lot on their activities.. having to give a 2 weeks heads up to take a day off is stressful, after times schools only give a few days heads up and in forced to miss out..   Not a lot of training or “building up your skills” in the fab shop.. it’s like your born to be what they want   Or your not..  ",Schedule & Hours,Satisfied,80,"Would like more opportunity to weld being that I don’t get bad marks on my welds, also I wish our supervisor/ management spent more time telling us good job personally. Other than my lead man. In over a year I have never been told good job, or asked if I need help.. just always “hurry up” ",Training & Career Development
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,"The challenge of learning a new trade since I've only been here a month but the variety of work,getting acclimated to a new system of work is awesome",Accomplishment & Growth,Hearing negativity from a few coworkers,People & Culture,Extremely satisfied,100,Maybe management getting to onow the workers on a more personal note,Leadership Improvement
Fitter,Oklahoma - Durant Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Agree,80,The people.,People & Culture,The time off.,Schedule & Hours,Satisfied,80,,Blank
Fitter,Oklahoma - Durant Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Agree,80,Everyone has a good attitude ,People & Culture,Nothing ,No Compliants,Satisfied,80,To slow done and do a good job,No Changes
Machine operator,Oregon - Tangent Shop,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,Agree,80,Meeting goals and expectations ,Accomplishment & Growth,Sometimes the expectations get to be a little unrealistic also lack of help from time to time,Management & Leadership,Satisfied,80,,Blank
